ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_RoundColonies_Count,Location_Center_X,Location_Center_Y,Number_Object_Number
1,34,101,618.0,246.0,1.348270366449327,0.84743694970604411,1.0,0.57386363636363635,0.70426308807055982,16.519825572007615,16.15549442140351,4.2426406871192848,1.9167883135164712,2.0,8.8345447153698231,8.770310148582654,-63.957933260514309,42.452000000000012,0.93087557603686633,1,616.87128712871288,247.94059405940595,34
1,35,235,635.0,250.0,1.0374046508638506,0.58139997479203454,1.0,0.65826330532212884,0.73985392016160556,19.382414921755061,20.396078054371138,7.810249675906654,3.0168635567875746,2.8284271247461903,15.652475842498529,15.769879512491539,7.7925622000595807,63.178000000000026,0.89866156787762907,1,635.01276595744685,250.18297872340426,35
1,36,199,666.0,250.0,1.0006822595031999,0.19929979205612422,1.0,0.77734375,0.87525584756786079,16.139433186061073,15.811388300841896,7.6157731058639087,2.9704172967096882,2.8284271247461903,15.0,15.815653010361292,-15.415816321701641,53.452000000000019,0.92990654205607481,1,666.42713567839201,249.69346733668343,36
1,37,49,781.0,250.0,1.0137563727773533,0.33471870672448784,1.0,0.68055555555555558,0.81102947122265112,8.2626372941262662,8.2462112512353212,3.6055512754639891,1.6852955660047548,1.4142135623730951,7.0,7.7860326136514839,-14.654234609088668,27.554000000000002,0.875,1,781.59183673469386,250.26530612244898,37
1,38,182,688.0,251.0,1.0083343405420562,0.48717344722247907,1.0,0.8125,0.95778420492262739,16.342845956316832,15.811388300841896,7.0,2.878815039437399,2.8284271247461903,13.0,14.272292917623783,85.686773491221842,48.866000000000014,0.94545454545454544,1,688.32417582417577,250.4065934065934,38
1,39,92,723.0,251.0,1.0024687374062236,0.32399790547878643,1.0,0.76033057851239672,0.90225374329535846,11.202205597540329,10.816653826391969,5.0,2.1506462726549334,2.0,9.8386991009990741,10.597933960877723,-75.499150288056057,35.796000000000006,0.92000000000000004,1,723.22826086956525,250.72826086956522,39
1,40,12,564.0,253.0,1.0290170381549901,0.5850276815031209,1.0,0.75,0.76173325358338817,4.4481350684580088,3.6055512754639891,2.0,1.1523689270621826,1.0,2.8284271247461903,3.6074968079360707,34.721977390208295,14.069999999999999,1.0909090909090908,1,563.66666666666663,253.08333333333334,40
1,41,101,622.0,253.0,1.3669314635849861,0.83151394221245356,1.0,0.48095238095238096,0.5211430181211989,16.462832330584313,16.643316977093239,4.1231056256176606,1.8673018576116156,1.4142135623730951,8.4852813742385695,9.1451672830130981,-40.4713242708007,49.350000000000016,0.80800000000000005,0,621.06930693069307,253.95049504950495,41
1,42,19,992.0,254.0,1.2384992761782765,0.85706766490537789,1.0,0.6333333333333333,0.85345235295538457,6.977819438134957,5.8309518948453007,2.0,1.18343586180203,1.0,2.8284271247461903,3.5949995117187621,-54.831751199547611,16.725999999999999,1.0555555555555556,1,991.84210526315792,254.42105263157896,42
1,43,99,970.0,251.0,1.0944008146202291,0.70455473678218683,1.0,0.7615384615384615,0.72047578310599125,13.620086467979355,12.649110640673518,5.0,2.0893529808103684,2.0,9.0,9.6654895674553103,-4.6351720775760867,41.554000000000002,0.90825688073394495,1,970.59595959595958,251.13131313131314,43
1,44,62,1053.0,254.0,1.0073006286156798,0.45516689314572539,1.0,0.76543209876543206,0.96719838368561817,9.4950144673445163,8.9442719099991592,4.1231056256176606,1.8526152179766626,1.4142135623730951,7.6026311234992852,8.4544192090212249,-36.342903323946544,28.382000000000005,0.91176470588235292,1,1053.2258064516129,254.09677419354838,44
