filename,RawCellIntDen,RawCellMean,CellVolume_um3,CellVoxelCount,RawMitoIntDen,RawMitoMean,MitoVolume_um3,MitoVoxelCount,MeanBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
PSY109 25C 2_03_m-50.csv,74899808,555.12,160.66,134925,2558147.25,684.18,4.45,3739,558.29,-427712.24999999447,470702.70999999996,-1.100512575919923,125.88999999999999,-50,25
PSY109 25C 2_04_m-50.csv,128000000,613.94,248.32,208551,3353302.82,703.0008448637317,5.672000000000001,4770,608.32,1172056.620000001,451627.6299999999,0.38532919169041463,94.68084486373164,-50,25
PSY109 25C 2_05_m-50.csv,170000000,626.5,323.99,272097,4655350.06,784.6521355132311,7.058,5933,607.38,5202494.6400000015,1051755.58,0.20216370275779846,177.2721355132311,-50,25
PSY109 25C 2_06_m-50.csv,87442328,566.67,183.73,154308,2666226.12,714.4214121114684,4.4432,3732,589.83,-3573773.280000013,464975.14999999985,-0.13010762395089545,124.59141211146834,-50,25
PSY109 25C 3_01_m-50.csv,108000000,562.66,227.49,191058,2925412.09,683.5082499999999,5.097,4280,546.89,3012984.6599999964,584726.1099999995,0.19406873116971005,136.61824999999988,-50,25
PSY109 25C 3_02_m-50.csv,88155816,569.98,184.16,154665,2049424.5099999998,739.595925658607,3.298,2771,570.52,-83519.09999999437,468509.39000000013,-5.609607742420976,169.07592565860705,-50,25
PSY109 25C 3_03_m-50.csv,106000000,574.97,220.54,185220,2393009.62,739.0383137739345,3.8569999999999998,3238,559.18,2924623.8000000142,582381.2200000002,0.1991303018186467,179.85831377393458,-50,25
PSY109 25C 3_04_m-50.csv,125000000,599.54,248.22,208467,2681438.5,707.3137694539699,4.52,3791,562.47,7727871.689999986,549102.73,0.07105484563240735,144.8437694539699,-50,25
PSY109 25C 4_01_m-50.csv,107000000,576.42,221.69,186186,3303988.5,737.8283988387673,5.3309999999999995,4478,562.78,2539577.0399999972,783866.73,0.3086603468426383,175.0483988387673,-50,25
PSY109 25C 4_02_m-50.csv,131000000,591.54,263.77,221529,3105108.37,774.7279366267466,4.775,4008,570.41,4680907.769999999,818906.2900000003,0.17494604257071283,204.3179366267466,-50,25
PSY109 25C 4_03_m-50.csv,89755760,583.65,183.11,153783,2618399.29,756.9826279271465,4.12,3459,589.59,-913471.0200000084,579011.0999999996,-0.6338582038431765,167.39262792714646,-50,25
PSY109 25C 4_04_m-50.csv,137000000,596.5,273.88,230013,3431889.19,750.46961294555,5.4389,4573,607.69,-2573845.470000013,652931.1699999999,-0.25367924283348553,142.77961294554996,-50,25
PSY109 25C 4_05_m-50.csv,93943056,593.38,188.51,158319,2297688.61,798.9189847009736,3.423,2876,587.98,854922.5999999964,606660.5200000001,0.7096087060980757,210.9389847009736,-50,25
PSY109 25C 4_06_m-50.csv,133000000,600.59,264.22,221907,1436352.28,836.0599185098952,2.0463,1718,597.25,741169.3800000071,410275.4399999999,0.5535515242143381,238.80991850989517,-50,25
PSY109 25C 4_07_m-50.csv,103000000,578.66,212.29,178290,2229041.1,781.5698913043478,3.395,2852,580.24,-281698.2000000073,574192.85,-2.038326300984476,201.32989130434783,-50,25
PSY109 25C 4_08_m-50.csv,135000000,564.27,285.8,240030,3758215.11,760.9232273739623,5.877000000000001,4939,582.7,-4423752.900000015,880244.5199999994,-0.1989813942817639,178.22322737396223,-50,25
PSY109 36C 7_01_m-50.csv,58451536,546.73,127.3,106911,3506809.7,718.610956967213,5.816,4880,558.1,-1215578.0700000005,783293.4699999995,-0.6443794021390985,160.51095696721302,-50,36
PSY109 36C 7_02_m-50.csv,346000000,557.28,738.54,620256,16475782.04,713.2980370594856,27.5041,23098,535.14,13732467.839999992,4115094.3399999994,0.2996616768337541,178.15803705948565,-50,36
PSY109 36C 7_03_m-50.csv,255000000,570.78,532.55,447258,12749873.19,719.5191264108352,21.0955,17720,575.73,-2213927.10000002,2547943.3199999984,-1.1508704690411782,143.78912641083514,-50,36
PSY109 36C 7_04_m-50.csv,103000000,572.09,214.77,180369,7504603,716.9768032865196,12.46,10467,555.61,2972481.1200000034,1689026.3300000005,0.5682210455890124,161.3668032865196,-50,36
PSY109 36C 8_01_m-50.csv,179000000,561.93,379.92,319074,6194749.9399999995,750.0600399564111,9.8291,8259,558.39,1129521.9599999883,1583002.8599999992,1.4014803749366818,191.67003995641107,-50,36
PSY109 36C 8_02_m-50.csv,98967352,565.01,208.56,175161,4457570.3,670.9158052378086,7.912,6644,571.87,-1201604.4600000023,658060.3300000005,-0.5476513710676467,99.04580523780862,-50,36
PSY109 36C 8_03_m-50.csv,105000000,580.36,214.44,180096,6356441.61,762.4373827515893,9.934999999999999,8337,560.19,3632536.319999993,1686136.4299999997,0.464176069132876,202.24738275158927,-50,36
PSY109 36C 9_01_m-50.csv,103000000,547.17,224.62,188643,3165753.62,717.859074829932,5.257,4410,562.02,-2801348.5500000045,687250.32,-0.24532838657295925,155.83907482993197,-50,36
PSY109 36C 9_02_m-50.csv,168000000,555.45,360.89,303093,8834279.38,735.7608578329307,14.298,12007,553.52,584969.4900000193,2188165.979999999,3.740649755938428,182.24085783293071,-50,36
PSY109 36C 9_03_m-50.csv,90057616,562.05,190.79,160230,2450052.63,751.5492484662576,3.882,3260,577.17,-2422677.6000000006,568476.35,-0.2346479572849478,174.37924846625765,-50,36
