
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment Whole cells ID"
"Whole cells prelim 26","GTY029 25C 9 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","663.78","709.01","680.55","2722.2","17.09","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 27","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","692.86","692.86","692.86","692.86","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 28","GTY029 25C 9 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","699.95","730.2","716.81","2867.23","11.21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 29","GTY029 25C 9 (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","729.52","777.86","751.04","2253.12","20.09","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 30","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","709.35","734.82","722.08","1444.17","12.73","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 31","GTY029 25C 9 (cropped)","Whole cells prelim","8","0.00953","N/A","N/A","N/A","N/A","N/A","719.52","838.29","790.38","6323.04","33.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 32","GTY029 25C 9 (cropped)","Whole cells prelim","19","0.0226","N/A","N/A","N/A","N/A","N/A","679.44","843.31","780.11","14822.16","42.61","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 33","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","722.41","722.41","722.41","722.41","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 34","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","731.07","731.07","731.07","731.07","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 35","GTY029 25C 9 (cropped)","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","728.71","764.73","746","3729.99","11.74","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 36","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","737.2","737.2","737.2","737.2","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 37","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","701.68","701.68","701.68","701.68","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 38","GTY029 25C 9 (cropped)","Whole cells prelim","6","0.00714","N/A","N/A","N/A","N/A","N/A","721.89","778.48","751.07","4506.42","22.88","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 39","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","725.24","765.4","745.32","1490.64","20.08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 40","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","692.73","700.33","696.53","1393.06","3.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 41","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","748.96","748.96","748.96","748.96","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 42","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","747.05","747.05","747.05","747.05","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 43","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","710.98","773.04","742.01","1484.02","31.03","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 44","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","770.5","770.65","770.57","1541.15","0.0777","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 45","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","669.36","669.36","669.36","669.36","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 46","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","721.79","721.79","721.79","721.79","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 47","GTY029 25C 9 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","739.31","793.87","766.3","3065.22","19.35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 48","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","718.93","718.93","718.93","718.93","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 49","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","738.03","810.86","774.45","1548.89","36.42","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 50","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","742.01","767.38","754.69","1509.38","12.69","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 51","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","706.05","706.05","706.05","706.05","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 52","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","732.49","735.39","733.94","1467.88","1.45","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 53","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","735.54","759.54","747.54","1495.09","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 54","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","718.44","735.26","726.85","1453.7","8.41","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 55","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","710.82","757.28","734.05","1468.1","23.23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 56","GTY029 25C 9 (cropped)","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","744.51","806.59","774.05","3870.27","19.74","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 57","GTY029 25C 9 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","705.18","728.52","717","2867.99","8.28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 58","GTY029 25C 9 (cropped)","Whole cells prelim","8","0.00953","N/A","N/A","N/A","N/A","N/A","700.62","754.34","725.87","5806.94","17.83","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 59","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","742.31","749.34","745.82","1491.65","3.52","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 60","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","701.11","701.11","701.11","701.11","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 61","GTY029 25C 9 (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","742.2","797.75","763.31","2289.92","24.56","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 62","GTY029 25C 9 (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","781.69","806.48","794.95","2384.85","10.19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 63","GTY029 25C 9 (cropped)","Whole cells prelim","11","0.0131","N/A","N/A","N/A","N/A","N/A","706.67","806.28","771.35","8484.89","27.66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 64","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","736.47","736.47","736.47","736.47","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 65","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","731.31","731.31","731.31","731.31","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 66","GTY029 25C 9 (cropped)","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","742.88","824.27","769.13","3845.64","30.68","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 67","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","717.6","717.6","717.6","717.6","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 68","GTY029 25C 9 (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","728.67","739.63","733.32","2199.95","4.63","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 69","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","726.03","726.03","726.03","726.03","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 70","GTY029 25C 9 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","729.64","768.46","746.72","2986.88","16.85","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 71","GTY029 25C 9 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","741.29","741.29","741.29","741.29","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 72","GTY029 25C 9 (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","715.67","738.17","727.06","2181.18","9.19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 73","GTY029 25C 9 (cropped)","Whole cells prelim","8","0.00953","N/A","N/A","N/A","N/A","N/A","699.14","825.14","745","5960.01","37.17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 74","GTY029 25C 9 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","699.26","706.98","703.12","1406.24","3.86","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
