
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"Mito 28","GTY029 25C (cropped)","Mito","16","0.0191","686","794","755.75","12092","31.13","330","400","363.44","5815","20.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","597.41","714.69","663.5","10615.94","38.65","588.71","673.45","626.32","10021.09","25.33","N/A","N/A"
"Mito 29","GTY029 25C (cropped)","Mito","7955","9.47","796","1263","1008","8018621","60.61","364","1364","691.85","5503681","161.6","1796","2185","2044.83","1676760","66.14","2335","2870","2648.96","2172144","83.73","607.05","2577.91","1221.76","9719099","297.74","585.47","17046.61","1761.28","14010985","1868.2","N/A","57"
"Mito 30","GTY029 25C (cropped)","Mito","14","0.0167","869","989","929.79","13017","30.21","340","416","378.79","5303","18.56","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","842.1","1041.46","971.25","13597.57","64.27","590.09","651.5","609.67","8535.36","18.07","N/A","56"
"Mito 31","GTY029 25C (cropped)","Mito","42","0.05","696","865","774.79","32541","39.31","392","507","435.57","18294","32.04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","550.62","859.3","699.94","29397.5","78","592.87","804.09","659.72","27708.44","63.47","N/A","N/A"
"Mito 32","GTY029 25C (cropped)","Mito","1984","2.36","721","1163","904.93","1795388","70.14","367","1759","805.03","1597179","278.99","1750","2057","1878.51","341888","70.26","2216","2583","2374.32","432127","92.95","582.43","2640.19","1249.55","2479098.75","440.72","585.91","22614.72","2492.67","4945456.5","3224.9","N/A","N/A"
"Mito 33","GTY029 25C (cropped)","Mito","19","0.0226","751","932","821.21","15603","44.83","379","454","416.84","7920","22.98","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","668.39","821.17","741.87","14095.54","47.09","586.84","657.29","612.74","11642.04","21.69","N/A","N/A"
"Mito 34","GTY029 25C (cropped)","Mito","19","0.0226","806","943","880","16720","30.73","357","424","390.89","7427","19.81","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","677.65","821.01","754.56","14336.61","45.21","589.35","669.28","626.15","11896.81","24.95","N/A","56"
"Mito 35","GTY029 25C (cropped)","Mito","19","0.0226","867","1029","932.26","17713","37.36","366","453","416.32","7910","18.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","808.69","911.47","858.04","16302.84","30.34","588.9","720.97","643.87","12233.49","41.32","N/A","56"
"Mito 36","GTY029 25C (cropped)","Mito","64","0.0762","831","986","901.8","57715","35.13","325","421","381.53","24418","20.43","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","715.52","1001.1","815.86","52214.76","57.02","585.75","705.97","642.92","41146.87","37.38","N/A","56"
"Mito 37","GTY029 25C (cropped)","Mito","57","0.0679","771","977","893.65","50938","38.06","302","413","367.81","20965","22.85","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","701.39","1027.46","824.33","46986.98","70.27","587.89","712.44","630.46","35936.1","32.11","N/A","56"
