filename,ID,Item Name,Name,Population,Type,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment Whole cells ID
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,185,GTY029 25C 2 (cropped),Mito 48,Mito,Object,0.0119,915,980,944.7,9447,20.69,691.5,958.43,805.59,8055.93,71.98,356,428,398.3,3983,19.39,526.17,583.76,549.98,5499.85,18.98,NA,NA
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,151,GTY029 25C 2 (cropped),Mito 14,Mito,Object,0.398,793,995,889.79,297191,38.53,676.78,2039.87,1123.56,375270.66,167.66,299,591,399.23,133344,58.7,526.1,5920.99,1227.54,409997.53,908.28,NA,134
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,164,GTY029 25C 2 (cropped),Mito 27,Mito,Object,0.828,738,1031,868.29,603462,48.56,550.09,2156.66,1154.82,802597.94,331.83,308,850,487.47,338791,106.11,526.85,11814.11,1651.86,1148044.25,1596.02,NA,134
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,155,GTY029 25C 2 (cropped),Mito 18,Mito,Object,0.664,722,946,837.72,467449,39,637.9,1863.24,1064.25,593849.56,216.43,300,575,395.47,220672,48.94,526.38,5498.23,1218,679642.88,809.17,NA,135
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,156,GTY029 25C 2 (cropped),Mito 19,Mito,Object,1.7,716,968,834.38,1188152,39.65,471.87,1773.97,984.5,1401931.5,216.88,304,668,432.01,615183,60.18,526.1,4976.14,1198.92,1707261.75,767.92,NA,135
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,165,GTY029 25C 2 (cropped),Mito 28,Mito,Object,0.0214,710,843,791.83,14253,33.71,643.15,906.34,767.93,13822.74,84.96,262,336,296.06,5329,20.42,533.94,813.57,633.32,11399.78,71.98,NA,135
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,166,GTY029 25C 2 (cropped),Mito 29,Mito,Object,3.89,716,1056,868.44,2836338,47.76,501.36,2241.53,1094.25,3573833.25,242.92,297,745,451.54,1474721,70.14,525.98,6154.52,1174.73,3836665,750.6,NA,135
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,140,GTY029 25C 2 (cropped),Mito 3,Mito,Object,0.136,749,950,855.5,97527,37.93,727.11,1133.64,896.78,102233.13,108.05,391,527,443.63,50574,25.75,526.1,703.83,564.88,64396.38,40.71,NA,136
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,146,GTY029 25C 2 (cropped),Mito 9,Mito,Object,0.0703,817,1025,896.12,52871,45.18,800.38,1356.45,1027.65,60631.52,154.14,350,489,414.51,24456,29.45,526.43,646.99,569.01,33571.71,31.68,NA,136
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,162,GTY029 25C 2 (cropped),Mito 25,Mito,Object,2.6,770,1098,926.4,2021396,49.76,610.12,2383.45,1191.92,2600771.75,307.92,374,1260,718.59,1567967,174.63,526.31,15916.98,2087.22,4554306,1965.53,NA,136
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,167,GTY029 25C 2 (cropped),Mito 30,Mito,Object,2.2,710,1158,926.13,1709645,76.92,551.75,2852.26,1325.5,2446877.5,379.92,310,1203,642.9,1186789,193.88,526.06,14749.35,1986.53,3667135.5,2209.36,NA,136
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,171,GTY029 25C 2 (cropped),Mito 34,Mito,Object,0.126,665,862,764.38,81024,37.63,510.35,853.55,677.64,71829.34,71.51,299,439,351.39,37247,27.25,526.29,711.83,577.27,61190.95,45.55,NA,136
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,173,GTY029 25C 2 (cropped),Mito 36,Mito,Object,0.0119,861,974,897,8970,29.21,853.14,1018.53,943.45,9434.53,59.31,385,447,416.9,4169,19.47,528.02,568.13,545.34,5453.44,13.31,NA,136
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,178,GTY029 25C 2 (cropped),Mito 41,Mito,Object,7.92,744,1178,936.33,6226617,63.54,542.76,2992.76,1198.37,7969133,360.86,303,1375,570.63,3794710,167.37,525.98,19751.09,1569.06,10434275,1954.59,NA,136
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,179,GTY029 25C 2 (cropped),Mito 42,Mito,Object,0.0214,850,947,895.22,16114,26.77,753.82,958.12,847.09,15247.68,56.98,364,424,395.33,7116,17.19,532.3,642.29,579.32,10427.72,34.33,NA,136
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,180,GTY029 25C 2 (cropped),Mito 43,Mito,Object,0.0464,759,888,833.85,32520,31.02,562.51,800.16,657.11,25627.13,58.75,378,474,420.31,16392,21.61,527.14,717.53,600.53,23420.84,53.29,NA,136
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,186,GTY029 25C 2 (cropped),Mito 49,Mito,Object,0.0286,823,968,892.67,21424,33.9,738.26,1063.28,851.74,20441.71,84.81,343,413,381,9144,18.36,536.92,669.6,593,14231.9,42.72,NA,136
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,138,GTY029 25C 2 (cropped),Mito 1,Mito,Object,0.0155,767,852,821.77,10683,22.65,700.76,871.27,775.53,10081.89,50.88,356,460,395,5135,26.98,526.28,555.1,538.68,7002.79,8.4,NA,137
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,141,GTY029 25C 2 (cropped),Mito 4,Mito,Object,0.0155,887,983,931.85,12114,30.85,941.08,1140.97,1074.18,13964.4,58.27,371,456,414.46,5388,21.05,527.16,592.05,551.56,7170.26,23.65,NA,137
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,158,GTY029 25C 2 (cropped),Mito 21,Mito,Object,6.57,739,1211,963.19,5311017,76.23,578.13,2728.62,1269.06,6997572.5,390.29,327,1588,741.67,4089593,246.26,525.92,16233.83,1930.67,10645733,2092.7,NA,137
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,159,GTY029 25C 2 (cropped),Mito 22,Mito,Object,2.41,685,1235,956.57,1937048,80.57,537.68,4644.73,1317.52,2667978,558.52,326,1386,597.67,1210277,176.71,526,15510.38,1894.31,3835980.25,2135.33,NA,137
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,163,GTY029 25C 2 (cropped),Mito 26,Mito,Object,2.55,759,1252,1008.92,2161098,86.02,623.51,3219.85,1418.22,3037821.25,486.1,341,1744,707.8,1516097,273.65,525.99,16047.84,2084.14,4464234.5,2514.03,NA,137
GTY029 25C 2 (cropped)_01 c10 m-80 full field.csv,168,GTY029 25C 2 (cropped),Mito 31,Mito,Object,2.67,800,1200,994.54,2229753,55.4,590.77,2718.63,1225.17,2746824,307.29,357,1352,640.37,1435705,170.85,526.32,15136.01,2055.83,4609164,2073.22,NA,137
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,1,GTY029 25C 2 (cropped),ROIs 1,ROIs,Object,710.81,554,837,680.78,406000000,30.44,309.41,1285.84,682.32,407000000,89.09,187,318,250,149000000,13.46,137.34,445.39,250.1,149000000,27.52,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,134,GTY029 25C 2 (cropped),Whole cells 1,Whole cells,Object,53.32,NA,NA,NA,NA,NA,458.82,2656.12,904.27,40496944,193.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,135,GTY029 25C 2 (cropped),Whole cells 2,Whole cells,Object,69.53,NA,NA,NA,NA,NA,409.45,2241.53,884.34,51642972,173.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,136,GTY029 25C 2 (cropped),Whole cells 3,Whole cells,Object,114.84,NA,NA,NA,NA,NA,416.96,2992.76,932.25,89914424,252.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,137,GTY029 25C 2 (cropped),Whole cells 4,Whole cells,Object,126.63,NA,NA,NA,NA,NA,340.04,4644.73,966.61,103000000,301.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,138,GTY029 25C 2 (cropped),Mito 1,Mito,Object,0.0155,767,852,821.77,10683,22.65,700.76,871.27,775.53,10081.89,50.88,356,460,395,5135,26.98,526.28,555.1,538.68,7002.79,8.4,NA,137
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,139,GTY029 25C 2 (cropped),Mito 2,Mito,Object,0.0143,846,935,883.67,10604,27.55,797.89,897.85,850.62,10207.44,31.17,380,430,399.92,4799,16.21,526.91,567.89,545.61,6547.36,11.91,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,140,GTY029 25C 2 (cropped),Mito 3,Mito,Object,0.136,749,950,855.5,97527,37.93,727.11,1133.64,896.78,102233.13,108.05,391,527,443.63,50574,25.75,526.1,703.83,564.88,64396.38,40.71,NA,136
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,141,GTY029 25C 2 (cropped),Mito 4,Mito,Object,0.0155,887,983,931.85,12114,30.85,941.08,1140.97,1074.18,13964.4,58.27,371,456,414.46,5388,21.05,527.16,592.05,551.56,7170.26,23.65,NA,137
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,142,GTY029 25C 2 (cropped),Mito 5,Mito,Object,0.05,827,1034,907.38,38110,45.12,888.1,1377.96,1013.84,42581.39,123.26,371,477,413.79,17379,21.21,526.28,634.07,567.21,23822.74,28.35,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,143,GTY029 25C 2 (cropped),Mito 6,Mito,Object,0.0488,857,1041,942.73,38652,35.33,886.41,1130.64,999.97,40998.88,71.56,441,564,509.51,20890,29.85,528.09,681.42,587.19,24074.62,45.92,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,144,GTY029 25C 2 (cropped),Mito 7,Mito,Object,0.0429,829,1016,904.28,32554,36.72,916.32,1313.05,1107.7,39877.38,126.79,374,458,418.42,15063,21.18,526.84,668.09,567.84,20442.41,36.33,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,145,GTY029 25C 2 (cropped),Mito 8,Mito,Object,1.2,817,1226,961.6,972180,52.87,631.29,6032.78,1294.31,1308549,371.24,346,957,565.29,571505,115.41,526.38,8763.07,1671.43,1689815,1477.47,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,146,GTY029 25C 2 (cropped),Mito 9,Mito,Object,0.0703,817,1025,896.12,52871,45.18,800.38,1356.45,1027.65,60631.52,154.14,350,489,414.51,24456,29.45,526.43,646.99,569.01,33571.71,31.68,NA,136
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,147,GTY029 25C 2 (cropped),Mito 10,Mito,Object,0.0226,822,937,879.21,16705,30.77,788.57,1752.76,1045.87,19871.44,257.88,331,383,354.63,6738,15.99,527.29,606.11,562.22,10682.24,22.65,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,148,GTY029 25C 2 (cropped),Mito 11,Mito,Object,0.0143,729,812,784.75,9417,27.23,808.07,1033.25,907.44,10889.3,70.52,413,472,447.5,5370,17.04,527.41,563.61,543.64,6523.71,13.48,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,149,GTY029 25C 2 (cropped),Mito 12,Mito,Object,0.0619,762,965,864.71,44965,42.72,601.35,1220.12,854.22,44419.51,146.29,379,484,420.25,21853,23.89,526.15,698.27,589.88,30673.67,46.21,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,150,GTY029 25C 2 (cropped),Mito 13,Mito,Object,0.0119,708,795,733.3,7333,25.04,816.66,1115.34,972.13,9721.33,105.54,278,306,290.8,2908,8.63,528.46,708.37,615.3,6153.05,59.6,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,151,GTY029 25C 2 (cropped),Mito 14,Mito,Object,0.398,793,995,889.79,297191,38.53,676.78,2039.87,1123.56,375270.66,167.66,299,591,399.23,133344,58.7,526.1,5920.99,1227.54,409997.53,908.28,NA,134
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,152,GTY029 25C 2 (cropped),Mito 15,Mito,Object,0.909,782,1062,908.69,693334,48.29,563.89,2498.13,1133.67,864988.88,351.82,329,988,534.23,407618,125.09,525.94,15510.61,1988.33,1517099.13,2144.41,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,153,GTY029 25C 2 (cropped),Mito 16,Mito,Object,0.722,831,1147,1004.68,608839,49.15,718.87,2486.86,1449.32,878287.5,362.08,331,711,516.15,312786,75.33,526.02,6573.38,1591.49,964443.13,1274.53,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,154,GTY029 25C 2 (cropped),Mito 17,Mito,Object,0.483,774,1074,926.28,376071,50.01,652.73,2250.41,1337.94,543201.69,359.83,351,1024,565.21,229477,142.4,527.6,11840.44,2185.82,887441.06,2388.15,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,155,GTY029 25C 2 (cropped),Mito 18,Mito,Object,0.664,722,946,837.72,467449,39,637.9,1863.24,1064.25,593849.56,216.43,300,575,395.47,220672,48.94,526.38,5498.23,1218,679642.88,809.17,NA,135
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,156,GTY029 25C 2 (cropped),Mito 19,Mito,Object,1.7,716,968,834.38,1188152,39.65,471.87,1773.97,984.5,1401931.5,216.88,304,668,432.01,615183,60.18,526.1,4976.14,1198.92,1707261.75,767.92,NA,135
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,157,GTY029 25C 2 (cropped),Mito 20,Mito,Object,2.73,756,1103,929.31,2133700,57.11,618.68,2426.62,1238.62,2843865.25,351.2,346,1091,580.26,1332286,140.84,525.91,15038.59,1858.95,4268144.5,1984.64,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,158,GTY029 25C 2 (cropped),Mito 21,Mito,Object,6.57,739,1211,963.19,5311017,76.23,578.13,2728.62,1269.06,6997572.5,390.29,327,1588,741.67,4089593,246.26,525.92,16233.83,1930.67,10645733,2092.7,NA,137
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,159,GTY029 25C 2 (cropped),Mito 22,Mito,Object,2.41,685,1235,956.57,1937048,80.57,537.68,4644.73,1317.52,2667978,558.52,326,1386,597.67,1210277,176.71,526,15510.38,1894.31,3835980.25,2135.33,NA,137
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,160,GTY029 25C 2 (cropped),Mito 23,Mito,Object,0.644,754,1173,927.15,501589,63.72,474.91,3668.65,1365.31,738632.06,550.46,338,1037,566.4,306423,159.57,526.44,17473.04,2202.48,1191543.63,2792.06,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,161,GTY029 25C 2 (cropped),Mito 24,Mito,Object,0.456,841,2227,1120.66,429214,218.29,463.88,25958.83,2391.07,915781.06,3516.46,362,771,498.76,191026,69.22,526.82,9209.74,1561.91,598212.38,1429.61,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,162,GTY029 25C 2 (cropped),Mito 25,Mito,Object,2.6,770,1098,926.4,2021396,49.76,610.12,2383.45,1191.92,2600771.75,307.92,374,1260,718.59,1567967,174.63,526.31,15916.98,2087.22,4554306,1965.53,NA,136
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,163,GTY029 25C 2 (cropped),Mito 26,Mito,Object,2.55,759,1252,1008.92,2161098,86.02,623.51,3219.85,1418.22,3037821.25,486.1,341,1744,707.8,1516097,273.65,525.99,16047.84,2084.14,4464234.5,2514.03,NA,137
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,164,GTY029 25C 2 (cropped),Mito 27,Mito,Object,0.828,738,1031,868.29,603462,48.56,550.09,2156.66,1154.82,802597.94,331.83,308,850,487.47,338791,106.11,526.85,11814.11,1651.86,1148044.25,1596.02,NA,134
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,165,GTY029 25C 2 (cropped),Mito 28,Mito,Object,0.0214,710,843,791.83,14253,33.71,643.15,906.34,767.93,13822.74,84.96,262,336,296.06,5329,20.42,533.94,813.57,633.32,11399.78,71.98,NA,135
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,166,GTY029 25C 2 (cropped),Mito 29,Mito,Object,3.89,716,1056,868.44,2836338,47.76,501.36,2241.53,1094.25,3573833.25,242.92,297,745,451.54,1474721,70.14,525.98,6154.52,1174.73,3836665,750.6,NA,135
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,167,GTY029 25C 2 (cropped),Mito 30,Mito,Object,2.2,710,1158,926.13,1709645,76.92,551.75,2852.26,1325.5,2446877.5,379.92,310,1203,642.9,1186789,193.88,526.06,14749.35,1986.53,3667135.5,2209.36,NA,136
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,168,GTY029 25C 2 (cropped),Mito 31,Mito,Object,2.67,800,1200,994.54,2229753,55.4,590.77,2718.63,1225.17,2746824,307.29,357,1352,640.37,1435705,170.85,526.32,15136.01,2055.83,4609164,2073.22,NA,137
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,169,GTY029 25C 2 (cropped),Mito 32,Mito,Object,0.0274,926,1055,995.13,22888,28.25,886.62,1197.99,1031.54,23725.48,85.69,404,508,455.74,10482,22.14,528.2,641.29,570.45,13120.27,36.63,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,170,GTY029 25C 2 (cropped),Mito 33,Mito,Object,0.0357,856,1028,938.43,28153,39.1,827.05,1245.45,1022.9,30686.93,132.27,324,390,362.83,10885,15.3,527.53,577.15,550.64,16519.13,15.83,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,171,GTY029 25C 2 (cropped),Mito 34,Mito,Object,0.126,665,862,764.38,81024,37.63,510.35,853.55,677.64,71829.34,71.51,299,439,351.39,37247,27.25,526.29,711.83,577.27,61190.95,45.55,NA,136
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,172,GTY029 25C 2 (cropped),Mito 35,Mito,Object,0.0179,706,839,794.73,11921,32.44,578.11,854.22,690.96,10364.46,81.7,340,405,373.4,5601,17.66,528.4,606.02,552.94,8294.1,24.97,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,173,GTY029 25C 2 (cropped),Mito 36,Mito,Object,0.0119,861,974,897,8970,29.21,853.14,1018.53,943.45,9434.53,59.31,385,447,416.9,4169,19.47,528.02,568.13,545.34,5453.44,13.31,NA,136
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,174,GTY029 25C 2 (cropped),Mito 37,Mito,Object,0.0202,888,1048,965.76,16418,40.14,737,1187.94,931.62,15837.56,147.64,376,448,410.94,6986,21.37,526.74,590.53,554.76,9430.89,18.7,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,175,GTY029 25C 2 (cropped),Mito 38,Mito,Object,0.0357,857,1075,932.5,27975,43.03,721.48,1102.39,873.47,26204,101.65,326,394,361.37,10841,16.98,528.13,663.37,576.23,17286.79,36.95,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,176,GTY029 25C 2 (cropped),Mito 39,Mito,Object,0.0119,1004,1074,1033.4,10334,22.21,866.76,1273.97,994.73,9947.31,119.02,458,543,499.2,4992,27.56,526.39,601.01,559.11,5591.15,21.66,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,177,GTY029 25C 2 (cropped),Mito 40,Mito,Object,14.03,726,1507,998.88,11771763,89.38,469.53,5899.19,1297.59,15292154,481.11,338,1865,688.26,8111122,198.55,525.95,18793.4,1935.97,22815444,2008.69,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,178,GTY029 25C 2 (cropped),Mito 41,Mito,Object,7.92,744,1178,936.33,6226617,63.54,542.76,2992.76,1198.37,7969133,360.86,303,1375,570.63,3794710,167.37,525.98,19751.09,1569.06,10434275,1954.59,NA,136
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,179,GTY029 25C 2 (cropped),Mito 42,Mito,Object,0.0214,850,947,895.22,16114,26.77,753.82,958.12,847.09,15247.68,56.98,364,424,395.33,7116,17.19,532.3,642.29,579.32,10427.72,34.33,NA,136
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,180,GTY029 25C 2 (cropped),Mito 43,Mito,Object,0.0464,759,888,833.85,32520,31.02,562.51,800.16,657.11,25627.13,58.75,378,474,420.31,16392,21.61,527.14,717.53,600.53,23420.84,53.29,NA,136
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,181,GTY029 25C 2 (cropped),Mito 44,Mito,Object,0.0238,913,1025,981.8,19636,30.58,815.66,1147.61,1002.44,20048.8,83.72,385,445,408,8160,17.15,526.07,645.29,573.94,11478.8,37.87,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,182,GTY029 25C 2 (cropped),Mito 45,Mito,Object,0.0762,872,1111,994.53,63650,43.9,899.87,1177.81,1027.4,65753.31,69.74,384,510,448.66,28714,24,527,697.82,590.66,37802.35,47.83,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,183,GTY029 25C 2 (cropped),Mito 46,Mito,Object,5.39,773,1208,972.43,4403144,63.1,485.57,3138.04,1241.71,5622442,348.21,323,1211,617.24,2794878,150.92,526.01,16567.48,1849.5,8374538,1875.75,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,184,GTY029 25C 2 (cropped),Mito 47,Mito,Object,0.0333,839,1041,944.29,26440,44.28,654.41,1026.51,818.25,22911.07,88.84,408,504,441.25,12355,26.08,527.55,708.44,603.07,16885.9,57.73,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,185,GTY029 25C 2 (cropped),Mito 48,Mito,Object,0.0119,915,980,944.7,9447,20.69,691.5,958.43,805.59,8055.93,71.98,356,428,398.3,3983,19.39,526.17,583.76,549.98,5499.85,18.98,NA,NA
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,186,GTY029 25C 2 (cropped),Mito 49,Mito,Object,0.0286,823,968,892.67,21424,33.9,738.26,1063.28,851.74,20441.71,84.81,343,413,381,9144,18.36,536.92,669.6,593,14231.9,42.72,NA,136
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,1,GTY029 25C 2_02,ROIs 1,ROIs,Object,140.03,564,906,694.29,81648303,31.14,325.88,1232.21,694.59,81683344,102.29,194,431,253.59,29822409,13.75,108.7,552.61,252.42,29684158,29.02,NA,NA
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,32,GTY029 25C 2_02,Whole cells 1,Whole cells,Object,156.97,NA,NA,NA,NA,NA,252.93,25958.83,974.92,129000000,392.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,33,GTY029 25C 2_02,Mito 1,Mito,Object,0.299,750,1009,880.35,220969,43.46,693.02,920.28,789.95,198278.11,40.87,348,523,422.24,105983,34.03,481.68,555.92,503.73,126436.15,15.87,NA,32
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,34,GTY029 25C 2_02,Mito 2,Mito,Object,0.0226,811,969,909.79,17286,45.9,752.92,902.4,801.64,15231.24,36.79,388,504,425.68,8088,29.5,482.09,527.1,498.44,9470.34,14.48,NA,32
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,35,GTY029 25C 2_02,Mito 3,Mito,Object,0.0452,787,973,886,33668,46.49,677.29,1080.16,906.33,34440.69,129.17,381,516,455.66,17315,33.97,482.37,548.29,507.26,19276.04,19.67,NA,32
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,36,GTY029 25C 2_02,Mito 4,Mito,Object,0.0131,787,895,844.73,9292,27.75,790.54,909.67,837.53,9212.86,32.02,368,415,396.73,4364,15.12,482.26,501.76,490.64,5397.07,5.93,NA,32
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,37,GTY029 25C 2_02,Mito 5,Mito,Object,0.0119,806,873,828.7,8287,18.54,788.92,845.42,819.19,8191.89,17.11,396,458,420.9,4209,18.93,483.17,502.42,491.06,4910.65,5.44,NA,32
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,38,GTY029 25C 2_02,Mito 6,Mito,Object,0.0119,750,835,802,8020,22.57,816.34,987.7,907.63,9076.33,55.33,374,439,400.9,4009,17.28,487.68,548.21,511.37,5113.72,18.18,NA,32
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,39,GTY029 25C 2_02,Mito 7,Mito,Object,0.149,823,1041,922.8,115350,40.32,731.76,1166.71,943.05,117881.03,89,379,564,474.85,59356,44.46,481.77,681.42,530.52,66315.48,49.09,NA,32
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,40,GTY029 25C 2_02,Mito 8,Mito,Object,0.819,820,1147,1001.69,689166,49.67,718.87,2486.86,1414.81,973387.56,362.49,331,711,507.23,348977,76.8,481.63,6573.38,1461.8,1005718.31,1247.05,NA,32
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,41,GTY029 25C 2_02,Mito 9,Mito,Object,0.0167,682,890,797.21,11161,78.33,841.49,1134.56,996.75,13954.46,78.03,229,422,323.14,4524,70.78,485.81,552.61,520.07,7281,20.97,NA,NA
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,42,GTY029 25C 2_02,Mito 10,Mito,Object,3.12,756,1103,924.61,2423391,57.34,611.58,2426.62,1205.96,3160813.25,348.14,340,1091,561.93,1472811,141.83,481.62,15038.59,1691.1,4432381,1910.35,NA,32
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,43,GTY029 25C 2_02,Mito 11,Mito,Object,0.0286,699,820,776.67,18640,31.25,502.73,713.23,646.3,15511.23,54.17,283,412,352.75,8466,23.9,482.16,614.72,522.81,12547.55,37.34,NA,NA
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,44,GTY029 25C 2_02,Mito 12,Mito,Object,0.0488,703,856,796.54,32658,36.88,544.58,854.22,661.38,27116.47,81.13,317,432,370.46,15189,25.45,482.32,606.02,521.75,21391.89,30.2,NA,32
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,45,GTY029 25C 2_02,Mito 13,Mito,Object,0.0119,818,975,888.8,8888,42.52,852.51,1061.75,931.6,9315.96,66.13,379,430,405.4,4054,17.18,483.44,513.37,497.88,4978.75,7.51,NA,32
