filename,ID,Item Name,Name,Population,Type,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment Whole cells ID
GTY029 36C 17 (cropped)_c-2m-80.csv,243,GTY029 36C 17 (cropped),Mito 7,Mito,Object,1.28,696,964,826.78,891273,38.02,742.01,1477.64,1019.73,1099273.5,158.8,300,560,412.48,444656,48.31,452.13,2839.02,773.25,833562.19,384.98,NA,235
GTY029 36C 17 (cropped)_c-2m-80.csv,244,GTY029 36C 17 (cropped),Mito 8,Mito,Object,0.0167,683,774,732,10248,25.24,741.89,783.29,766.94,10737.21,11.13,351,394,369,5166,12.28,452.92,467.12,459.15,6428.17,3.91,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,245,GTY029 36C 17 (cropped),Mito 9,Mito,Object,5.67,596,976,775.74,3694054,53.04,434.52,2079.84,976.54,4650265.5,249.7,283,776,444.21,2115310,83.28,451.95,6873.4,1021.28,4863336,846.35,NA,236
GTY029 36C 17 (cropped)_c-2m-80.csv,246,GTY029 36C 17 (cropped),Mito 10,Mito,Object,1.07,710,992,830.84,749419,54.87,493.4,2970.03,1143.86,1031764,420.77,296,785,434.99,392364,84.76,452.47,7124.22,1168.77,1054235,1008.35,NA,235
GTY029 36C 17 (cropped)_c-2m-80.csv,247,GTY029 36C 17 (cropped),Mito 11,Mito,Object,18.18,649,1232,891.81,13617119,81.49,489.81,3430.94,1115.55,17033366,372.07,292,1200,572.48,8741269,143.86,451.95,8942.89,1115.12,17026818,942.66,NA,235
GTY029 36C 17 (cropped)_c-2m-80.csv,248,GTY029 36C 17 (cropped),Mito 12,Mito,Object,0.158,658,851,743.8,98926,33.59,664.9,1111.04,861.76,114614.64,96.31,254,384,307.68,40922,21.96,453.02,1249.13,654.71,87076.52,192.14,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,249,GTY029 36C 17 (cropped),Mito 13,Mito,Object,0.0119,695,777,738.1,7381,26.19,624.33,835.21,732.49,7324.94,83.96,340,402,375.2,3752,20.95,457.64,478.58,467.42,4674.19,6.27,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,250,GTY029 36C 17 (cropped),Mito 14,Mito,Object,0.0321,718,853,788.52,21290,35.43,828.96,1037.81,905,24435.03,52.77,318,384,352.26,9511,16.1,453.81,582.69,506.57,13677.3,39.12,NA,NA
GTY029 36C 17 (cropped)_c-2m-80.csv,251,GTY029 36C 17 (cropped),Mito 15,Mito,Object,0.778,683,905,776.34,506953,35.8,558.78,1251.36,899.15,587141.88,131.49,260,493,344.26,224804,39.5,452.13,2425.37,822.61,537163.69,409.97,NA,234
GTY029 36C 17 (cropped)_c-2m-80.csv,252,GTY029 36C 17 (cropped),Mito 16,Mito,Object,0.0155,672,852,755.85,9826,43.26,664.7,851.04,769.64,10005.35,48.66,354,474,408.77,5314,37.23,452.95,486.24,466.59,6065.63,9.56,NA,236
