
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment Whole cells ID"
"Mito 15","GTY029 25C 7 (cropped)","Mito","1361","1.62","738","1020","867.22","1180288","42.27","565.97","1716.7","1071.67","1458547.13","207.21","328","787","484.79","659805","81.45","458.59","6268.07","1271.38","1730351","996.43","1773","2385","2073.74","356683","162.08","2194","2943","2568","441696","194.55","N/A","12184"
"Mito 16","GTY029 25C 7 (cropped)","Mito","10","0.0119","875","1016","945.7","9457","46.26","1255.07","1414.34","1341.13","13411.31","54.57","351","416","381.5","3815","19.64","460.26","504.38","482.81","4828.1","12.06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12184"
"Mito 17","GTY029 25C 7 (cropped)","Mito","13","0.0155","744","923","820.69","10669","49.86","712.47","1206.02","917.33","11925.28","192.56","315","394","356.15","4630","25.11","459.86","480.12","467.26","6074.38","5.46","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 18","GTY029 25C 7 (cropped)","Mito","16","0.0191","861","970","921.63","14746","33.14","973.65","1121.55","1056.28","16900.52","44.48","446","528","485.31","7765","23.02","463.35","492.06","477.9","7646.36","9.44","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12181"
"Mito 19","GTY029 25C 7 (cropped)","Mito","1454","1.73","729","1410","900.94","1309967","64.88","614.95","9560.86","1201.68","1747236.25","597.97","298","776","421.08","612244","73.17","458.76","7879.01","1160.69","1687641.88","916.53","1939","2190","2043.43","557857","47.97","2375","2745","2543.63","694410","64.43","N/A","12183"
"Mito 20","GTY029 25C 7 (cropped)","Mito","5728","6.82","757","1601","940.49","5387136","59.06","604.05","13267.72","1206.34","6909922.5","391.48","315","1240","496.21","2842297","107.61","458.46","13293.34","1172.08","6713650.5","1054.7","1860","2455","2070.96","1176303","97.29","2311","3022","2573.02","1461476","123.29","N/A","12183"
"Mito 21","GTY029 25C 7 (cropped)","Mito","15","0.0179","812","924","860.93","12914","34","645.96","980.95","813.24","12198.56","106.33","333","374","356.6","5349","11.53","459.51","479.89","469.43","7041.46","6.64","1958","2068","1983.67","11902","39.31","2531","2641","2570.17","15421","35.54","N/A","12182"
"Mito 22","GTY029 25C 7 (cropped)","Mito","223","0.266","842","1049","935.55","208627","36.97","672.88","1260.24","961.12","214328.84","125.98","308","542","387.04","86311","47.31","458.73","4177.46","1043.09","232609.16","720.28","2032","2194","2128.06","68098","41.63","2524","2785","2671.66","85493","63.85","N/A","12183"
"Mito 23","GTY029 25C 7 (cropped)","Mito","66","0.0786","837","992","903.8","59651","34.65","758.21","1199.88","893.69","58983.59","100.29","322","421","373.39","24644","22.02","458.96","501","473.51","31251.71","9.91","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 24","GTY029 25C 7 (cropped)","Mito","186","0.221","772","1029","908.14","168914","43.71","653.15","1160.13","834.82","155275.89","97.05","332","443","384.22","71464","20.81","458.79","536.51","489.9","91121.12","21.72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12182"
"Mito 25","GTY029 25C 7 (cropped)","Mito","30","0.0357","779","929","836.13","25084","30.88","635.66","808.84","727.4","21822.06","44.42","353","464","399.77","11993","26.98","458.71","543.22","488.35","14650.51","25.18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12182"
"Mito 26","GTY029 25C 7 (cropped)","Mito","393","0.468","704","916","812.16","319179","35.04","544.1","948.19","718.88","282519.38","67.08","328","518","412.09","161952","37.61","458.62","657.77","496.91","195284","33.93","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12181"
"Mito 27","GTY029 25C 7 (cropped)","Mito","27","0.0321","784","967","895.56","24180","39.05","671.54","869.53","759.27","20500.25","45.36","319","394","360.78","9741","18.26","458.6","528.82","493.15","13314.98","20.62","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12183"
"Mito 28","GTY029 25C 7 (cropped)","Mito","17","0.0202","868","1013","943.18","16034","45.29","779.13","1122.9","981.16","16679.66","84.76","344","406","367.59","6249","16.2","458.6","509.36","478.23","8129.93","14.52","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12183"
"Mito 29","GTY029 25C 7 (cropped)","Mito","12556","14.95","671","1151","898.72","11284375","73.43","526.45","2469.36","1063.59","13354376","280.57","274","1251","549.83","6903722","163.9","458.47","10805.14","1122.54","14094625","1052.56","1769","2437","2108.09","2032199","144.04","2226","3108","2668.87","2572792","176.53","N/A","N/A"
"Mito 30","GTY029 25C 7 (cropped)","Mito","216","0.257","801","987","887.07","191608","38.01","597.01","1098.36","797.87","172340.25","90.41","326","470","402.28","86893","26.58","458.54","615.31","515.03","111246.2","40.02","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12181"
"Mito 31","GTY029 25C 7 (cropped)","Mito","15","0.0179","707","824","765.6","11484","33.49","623.25","698.45","654.03","9810.49","19.49","337","395","365.53","5483","16.92","459.04","489.89","473.6","7103.98","9.27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 32","GTY029 25C 7 (cropped)","Mito","15","0.0179","680","777","738.47","11077","30.38","517.29","721.81","609.52","9142.86","56.61","331","387","352.53","5288","14.69","461.14","482.58","468.98","7034.75","6.47","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mito 33","GTY029 25C 7 (cropped)","Mito","16207","19.3","675","1199","943.15","15285658","58.42","589.63","2455.7","1118.66","18130086","248.68","286","1389","632.23","10246615","156.41","458.46","20671.5","1303.94","21132914","1366.84","1564","2450","2085.27","2152003","125.63","2028","3138","2664.14","2749392","159.29","N/A","12182"
"Mito 34","GTY029 25C 7 (cropped)","Mito","10","0.0119","896","1033","945.7","9457","35.31","819.68","919.74","874.97","8749.66","29.24","398","454","427.8","4278","18.19","460.18","476.72","466.89","4668.91","6.04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12182"
