filename,ID,RawCellIntDen,CellVolume_um3,RawMitoIntden,MitoVolume_um3,MeanBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito
GTY029 25C 10 (cropped)_01_c5m-80.csv,103,106000000,121.69,29108605.02,29.4355,685.28,35964119.25757958,12167679.984306712,0.338328318209609
GTY029 25C 10 (cropped)_02_c50m-80.csv,9,46255016,56.31,12776449.22,14.5763,671.98,14476067.650289744,4550210.810660956,0.3143264400653642
GTY029 25C 10 (cropped)_03_c45m-50.csv,13,43891100,56.27,5056290.03,5.09,664.5,12488215.142353237,2215687.8632073575,0.17742230078123405
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,134,40496944,53.32,1177868.5999999999,1.226,682.32,9942394.239354998,475320.2502897454,0.04780742332750037
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,135,51642972,69.53,5583437.05,6.2754,682.32,11799426.522549756,1987375.1301209368,0.16842980684890793
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,136,89914424,114.84,13322227.29,13.1606,682.32,24106387.718820862,5780663.006805238,0.23979797696077185
GTY029 25C 2 (cropped)_01_c10m-80_bgROI.csv,137,103000000,126.63,15474242.04,14.231,682.32,30435809.523809522,7319294.597319223,0.24048299394150952
GTY029 25C 2 (cropped)_02_c45m-80_bgROI.csv,32,129000000,156.97,22881082.25,21.5469,694.59,37432189.21642731,10311785.810090702,0.2754791003665188
GTY029 25C 2 (cropped)_03_c45m-80 bgROI.csv,19,98988184,123.28,9916427.8,9.652,688.1,27745244.55261612,4338581.827042918,0.1563720881542502
GTY029 25C 3 (cropped)_01 c2m-80.csv,159,114000000,146.7,13594925.17,13.7753,685.71,29517210.884353757,5661893.371058201,0.19181667919916554
GTY029 25C 3 (cropped)_01 c2m-80.csv,160,80582664,103.83,18695899.62,21.1535,685.71,20788199.147392295,6513849.997928949,0.31334364038676515
GTY029 25C 3 (cropped)_01 c2m-80.csv,161,78063344,97.9,10314753.66,10.7349,685.71,21683895.776266053,4132652.140725624,0.19058623890126733
GTY029 25C 3 (cropped)_01_c2m-90_removejoined_bgROI.csv,159,216000000,272.21,26137720.75,24.9444,685.68,59244349.71025452,11773165.285147393,0.1987221624125548
GTY029 25C 3 (cropped)_01_c2m-90_removejoined_bgROI.csv,161,114000000,146.7,13594925.17,13.7753,685.68,29520907.029478475,5662240.443368608,0.19180441975290619
GTY029 25C 3 (cropped)_01_c2m-90_removejoined_bgROI.csv,162,80582664,103.83,18695899.62,21.1535,685.68,20790815.171579756,6514382.965930967,0.3133298484051687
GTY029 25C 3 (cropped)_01_c2m-90_removejoined_bgROI.csv,163,78063344,97.9,10314753.66,10.7349,685.68,21686362.392542206,4132922.609357522,0.19057703337000428
GTY029 25C 3 (cropped)_02_c45m-80.csv,22,114000000,147.41,12423035.99,12.0521,685.03,29192515.075165883,5489257.487438483,0.18803647007818805
GTY029 25C 3 (cropped)_03_c45m-80.csv,22,90162816,116.1,24632223.75,29.6524,674.78,24367940.716553293,7827951.916624676,0.32123978007329523
GTY029 25C 4 (cropped)_01_c0m-80.csv,164,57790220,78.21,29431176.79,40.9304,644.52,15455535.19274377,7275754.426684305,0.47075396199157205
GTY029 25C 4 (cropped)_01_c0m-80.csv,165,93700416,124.34,18830709.47,22.6387,644.52,26395791.15747039,6576493.526437389,0.2491493241177636
GTY029 25C 4 (cropped)_01_c0m-80.csv,166,65520380,89.71,23149321.09,29.7966,644.52,16960802.27261275,7020569.404436886,0.41392908729165867
GTY029 25C 4 (cropped)_01_c0m-80.csv,167,85307104,117.34,39961825.46,53.5822,644.52,21791544.413202316,10958046.55347443,0.502857729846607
GTY029 25C 4 (cropped)_01_c0m-80.csv,168,60848996,83.45,25449536.63,35.441,644.52,15677925.201310158,6265499.240229275,0.39963829140514623
GTY029 25C 4 (cropped)_01_c0m-80.csv,169,40882248,51.88,19481234.26,23.7209,644.52,12799861.504661124,6641228.827901237,0.5188516161274718
GTY029 25C 4 (cropped)_02_c50m-80.csv,8,120000000,150.66,36472839.45,43.0956,643.68,38554775.51020409,13175807.613265313,0.3417425581891442
GTY029 25C 4 (cropped)_03_c50m-80.csv,6,77629648,105.57,37260385.95,50.4039,634.54,21369979.06575965,10399471.608856138,0.4866392979073544
GTY029 25C 5 (cropped)_02_c50m-80.csv,9,65102244,81.7,22867258.15,26.8491,638.79,21271604.040312424,8463179.382048374,0.3978627735834853
GTY029 25C 5 (cropped)_03_c50_m200.csv,11,40441096,51.06,6947283.94,8.120800000000001,642.63,12883619.053665914,2564425.366051902,0.1990454200306566
GTY029 25C 6 (cropped)_01_c0m-80.csv,171,103000000,137.29,24268013.98,28.9066,652.82,27728598.47148736,8419515.943550851,0.3036401552068502
GTY029 25C 6 (cropped)_01_c0m-80.csv,172,45827892,56.96,15874352.91,18.1936,652.82,14598676.244562022,5899425.596654909,0.40410688598238026
GTY029 25C 6 (cropped)_01_c0m-80.csv,174,75977224,99.23,22357125.02,26.587,652.82,21572816.004703112,7780384.161681363,0.36065686371149475
GTY029 25C 6 (cropped)_02_c50m-50.csv,19,101000000,124.71,14183605.75,13.4,653.5,32554560.342655584,6829192.379713614,0.20977682720431215
GTY029 25C 6 (cropped)_03_c50m-50.csv,18,80029952,101.73,10743123.59,11.325000000000001,652.49,24283073.945074327,4537152.942481733,0.18684425838113738
GTY029 25C 7 (cropped)_01_c2m-80.csv,142,114000000,141.91,24773417.78,26.3459,687.9,32014706.475182667,9552669.808218695,0.29838380107041695
GTY029 25C 7 (cropped)_01_c2m-80.csv,143,68759792,85.34,20167340.7,22.441300000000002,687.9,19456536.771982864,7202387.084479716,0.3701782680487645
GTY029 25C 7 (cropped)_01_c2m-80.csv,144,55874920,69.49,13490163.17,15.1215,687.9,15728643.85991434,4754058.483681029,0.30225482412995014
GTY029 25C 7 (cropped)_02_c45m-80.csv,28,152000000,194.49,22315542.44,22.5258,669.45,42651439.90929705,9650810.089281935,0.22627161263032242
GTY029 25C 7 (cropped)_03_c42m-80.csv,23,39231508,53.99,10156763.59,12.4518,674.31,8656218.75837743,3105135.7593121706,0.3587173390583552
GTY029 25C 7 (cropped)_04_c45m200.csv,13,90901704,117.33,18163072.59,20.4441,678.7,24023505.461325273,6509918.420183925,0.2709812034161313
GTY029 25C 7 (cropped)_05_c50m-80.csv,15,117000000,143.57,36753462.33,41.7398,677.25,35339814.81481482,13012570.795608465,0.3682127612664642
GTY029 25C 8 (cropped)_01_c0m-80.csv,176,77863568,101.2,8412728.29,7.7099,686.56,19511445.718988836,3967184.539265138,0.2033260167597019
GTY029 25C 8 (cropped)_01_c0m-80.csv,177,87207552,115.49,12119961.75,12.62,686.56,20615787.155790724,4843244.524838331,0.23492891579829503
GTY029 25C 8 (cropped)_01_c0m-80.csv,178,138000000,179.91,19091246.84,18.2019,686.56,34263534.3915344,8595994.917601414,0.2508788153426826
GTY029 25C 8 (cropped)_02_c50m-80.csv,19,102000000,127.47,12906579.47,11.5889,692.54,27860356.26102294,6166194.145401025,0.2213250285685551
GTY029 25C 8 (cropped)_03_c50m-80.csv,8,52386420,62.81,6919869.99,6.507199999999999,687.19,16136815.649617866,3164362.5002880665,0.19609584499175967
GTY029 25C 8 (cropped)_04_c50m-80.csv,24,189000000,248.69,26769572.95,27.9099,668.95,49282879.39867306,11089445.625736961,0.22501618738688278
GTY029 25C 8 (cropped)_05_c50m-80.csv,20,94915824,121.51,13346495.78,13.677800000000001,673.7,26165268.024523392,5607574.254846727,0.21431365616400447
GTY029 25C 9 (cropped)_02_c35m200.csv,105,79025024,118.54,7598038.81,9.614,662.42,13077877.951457128,2249499.3962097922,0.17200798207167506
GTY029 25C 9 (cropped)_03_c35m-80.csv,83,93468696,133.96,13728015.72,14.959,679.94,16971876.985974625,5185794.791134628,0.30555222592174763
GTY029 25C 9 (cropped)_04_c40m200.csv,54,144000000,203.11,10405929.709999999,11.0952,695.46,25368203.07382211,3925483.0886848066,0.15474028953732166
GTY029 25C 9 (cropped)_05_c40m200.csv,58,141000000,194.25,14829133.6,15.7956,688.49,28680202.821869493,5695756.054018645,0.19859538962797935
GTY029 36C (cropped)_01_c10m-80.csv,196,129000000,167.18,67957069.82,72.1671,648.16,37995222.30620645,28672760.13997984,0.7546411995935657
GTY029 36C (cropped)_01_c10m-80.csv,198,56793008,79.9,9626587.55,10.2441,648.16,13299278.261190899,4050190.5935878064,0.30454213484703246
GTY029 36C 13 (cropped_c0m-50.csv,481,85776408,101.31,31869163.93,24.2135,639.6,31356423.117157973,18862567.30616528,0.6015535393079908
GTY029 36C 13 (cropped_c0m-50.csv,482,51669528,65.85,9513905.1,7.3411,639.6,16297343.57067272,5570537.702670697,0.34180648389194856
GTY029 36C 13 (cropped_c0m-50.csv,483,46107040,59.56,8531653.77,7.155,639.6,14113610.924666163,4688252.409455782,0.3321795134129841
GTY029 36C 14 (cropped)_c-7m-50.csv,210,205000000,255.09,48534706.3,29.4249,640.99,67677299.82363316,32694388.292945325,0.48309238663697873
GTY029 36C 14 (cropped)_c-7m-50.csv,212,33941264,45.15,3538515.35,2.6432,640.99,9635646.716049384,2115600.452880658,0.219559777898131
GTY029 36C 15 (cropped)_c-2m-50.csv,209,130000000,169.63,23189453.98,20.050900000000002,654.49,36759772.654740915,12168110.618112035,0.33101702593208804
GTY029 36C 15 (cropped)_c-2m-50.csv,210,35452424,45.07,5544977.25,4.598,654.49,10678875.415133957,3017602.579638028,0.28257681285067926
GTY029 36C 16 (cropped)_c-2m-50.csv,529,49563840,67.24,5400773.83,5.103999999999999,656.43,12494592.330561861,2586951.103872513,0.20704565906842853
GTY029 36C 16 (cropped)_c-2m-50.csv,530,77755728,109.68,5137879.25,4.57,656.43,17289412.051398337,2618449.418808264,0.15144814705231627
GTY029 36C 16 (cropped)_c-2m-50.csv,531,95798584,132.94,10891863.76,9.348,656.43,22509086.89745529,5738334.20595616,0.2549341175898563
GTY029 36C 16 (cropped)_c-2m-50.csv,532,71256088,101.83,5852354.5,4.8,656.43,15117457.866465114,3206126.2309145886,0.21208104293954755
GTY029 36C 16 (cropped)_c-2m-50.csv,533,72228824,98.08,13667163.5,12.05,656.43,18157559.701688096,7024027.949483498,0.386837662377642
GTY029 36C 17 (cropped)_c-2m-50.csv,234,60007184,83.12,4429488.78,3.5372,651.19,14549123.363399677,2495005.477740825,0.1714883718710747
GTY029 36C 17 (cropped)_c-2m-50.csv,235,82209488,111.97,7305175.58,6.3381,651.19,20973455.162173502,3838889.077102545,0.18303560607534713
GTY029 36C 17 (cropped)_c-2m-50.csv,236,49903328,67.08,6246104.63,5.67,651.19,13217491.76921139,3145199.868095238,0.23795739184204492
GTY029 36C 17 (cropped)_c-2m-80.csv,234,60007184,83.12,11668996.77,12.3235,651.19,14549123.363399677,4929314.259711933,0.338804898177735
GTY029 36C 17 (cropped)_c-2m-80.csv,235,82209488,111.97,21262814.93,22.8501,651.19,20973455.162173502,8766168.739523808,0.4179649309921027
GTY029 36C 17 (cropped)_c-2m-80.csv,236,49903328,67.08,17872401.85,20.4655,651.19,13217491.76921139,6679885.7292307075,0.5053822499659675
GTY029 36C 18 (cropped)_c5m-50.csv,659,72879128,106.78,6991211.41,6.9399999999999995,656.99,13961355.09330646,3161942.408572269,0.22647818835925246
GTY029 36C 18 (cropped)_c5m-50.csv,660,81167440,121.22,4475295.44,4.338,656.99,14282139.0845721,2081726.4301738478,0.14575732793574162
GTY029 36C 18 (cropped)_c5m-70.csv,659,72879128,106.78,15312611.41,17.9683,656.99,13961355.09330646,5398280.833868314,0.3866588019422577
GTY029 36C 18 (cropped)_c5m-70.csv,660,81167440,121.22,11596577.69,13.766499999999999,656.99,14282139.0845721,4000665.3401217777,0.2801166769509611
GTY029 36C 2 (cropped)_c4m-50.csv,1310,39327628,59.78,2732715.5,2.7,650.79,6654220.592592593,1257001.2142857143,0.18890284696677992
GTY029 36C 4 (cropped)_c5m-80.csv,697,166000000,236.49,48494679.65,53.2567,646.88,37520407.155454785,19561536.04035861,0.5213572432546143
GTY029 36C 6 (cropped)c-7m-80.csv,537,71598488,102.16,15931084.15,15.8467,646.95,16091297.27185689,7321003.8904887885,0.4549666671868008
GTY029 36C 8 (cropped)_c5m-80.csv,191,115000000,140.04,35675627.87,29.6527,643.23,39348761.90476191,19656894.166296296,0.4995555950114267
GTY029 36C 9 (cropped)_c5m-50.csv,778,172000000,250.26,28247077.63,27.064500000000002,657.95,33712801.713277906,13291935.46572688,0.3942696776961081
GTY029 36C 9 (cropped)_c5m-50.csv,779,52333908,79.96,2978767.75,2.9400000000000004,657.95,8150081.67934829,1354199.8487654317,0.16615782541135446
