
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))"
"Whole cells prelim 37","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","716.67","716.67","716.67","716.67","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 38","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","700.17","804.53","752.35","1504.69","52.18","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 39","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","713.29","713.29","713.29","713.29","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 40","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","679.13","679.13","679.13","679.13","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 41","GTY029 25C 2","Whole cells prelim","7","0.00833","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","733.78","846.63","783.9","5487.28","36.27","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 42","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","761.64","833.1","797.37","1594.74","35.73","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 43","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","711.97","711.97","711.97","711.97","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 44","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","731.14","740.27","735.7","1471.4","4.57","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 45","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","797.79","802.29","800.04","1600.08","2.25","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 46","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","840.95","840.95","840.95","840.95","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 47","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","868.39","903.15","882.88","2648.63","14.77","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 48","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","796.49","815.67","806.08","1612.16","9.59","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 49","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","825.04","825.04","825.04","825.04","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 50","GTY029 25C 2","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","816.68","944.57","862.8","3451.2","48.6","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 51","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","793.51","793.51","793.51","793.51","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 52","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","750.18","750.18","750.18","750.18","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 53","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","736.26","762.11","752.91","2258.73","11.8","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 54","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","847.77","847.77","847.77","847.77","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 55","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","850.3","850.3","850.3","850.3","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 56","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","746.71","840.21","792.84","2378.52","38.18","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 57","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","799.34","799.34","799.34","799.34","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 58","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","763.28","763.28","763.28","763.28","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 59","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","892.07","913.6","902.84","1805.67","10.77","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 60","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","899.31","907.98","903.64","1807.29","4.33","N/A","N/A","N/A","N/A","N/A"
