
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))"
"Whole cells prelim 78","GTY029 25C 2","Whole cells prelim","62330","74.22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","409.45","2241.53","876.95","54660380","172.84","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 79","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","652.48","652.48","652.48","652.48","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 80","GTY029 25C 2","Whole cells prelim","110901","132.05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","340.04","4644.73","955.96","1.06e+08","300.69","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 81","GTY029 25C 2","Whole cells prelim","7","0.00833","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","730.87","918","844.8","5913.63","63.63","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 82","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","598.84","598.84","598.84","598.84","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 83","GTY029 25C 2","Whole cells prelim","47969","57.12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","426.46","2656.12","893.55","42862568","193.2","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 84","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","624.42","624.42","624.42","624.42","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 85","GTY029 25C 2","Whole cells prelim","7","0.00833","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","731.84","864.1","814.04","5698.3","41.19","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 86","GTY029 25C 2","Whole cells prelim","286498","341.13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","252.93","25958.83","921.25","2.64e+08","334.5","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 87","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","692.6","692.6","692.6","692.6","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 88","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","627.08","627.08","627.08","627.08","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 89","GTY029 25C 2","Whole cells prelim","14","0.0167","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","544.43","833.34","712.63","9976.76","77.41","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 90","GTY029 25C 2","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","652.42","777.4","732.56","3662.81","46.37","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 91","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","805.19","805.19","805.19","805.19","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 92","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","702.41","702.41","702.41","702.41","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 93","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","644.15","644.15","644.15","644.15","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 94","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","560.44","560.44","560.44","560.44","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 95","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","593.55","593.55","593.55","593.55","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 96","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","591.83","612.08","601.96","1203.91","10.12","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 97","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","735.91","735.91","735.91","735.91","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 98","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","576.95","576.95","576.95","576.95","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 99","GTY029 25C 2","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","626.63","719.54","671.54","2686.15","34.42","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 100","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","635.02","635.02","635.02","635.02","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 101","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","999.9","999.9","999.9","999.9","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 102","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","682.05","754.1","729.25","2187.75","33.39","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 103","GTY029 25C 2","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","756.04","837.96","792.09","3168.35","32.42","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 104","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","689.13","689.13","689.13","689.13","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 105","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","644.3","737.66","679.98","2039.94","41.16","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 106","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","659.5","659.5","659.5","659.5","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 107","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","600.45","600.45","600.45","600.45","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 108","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","622.36","622.36","622.36","622.36","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 109","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","716.44","716.44","716.44","716.44","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 110","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","730.29","730.29","730.29","730.29","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 111","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","693.64","715.77","704.7","1409.4","11.06","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 112","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","705.41","705.41","705.41","705.41","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 113","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","533.36","533.36","533.36","533.36","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 114","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","611.73","713.32","666.56","1999.68","41.86","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 115","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","727.29","727.29","727.29","727.29","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 116","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","606.99","606.99","606.99","606.99","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 117","GTY029 25C 2","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","551.72","630.01","598.57","2992.86","29.85","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 118","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","607.79","607.79","607.79","607.79","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 119","GTY029 25C 2","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","677.92","757.79","719.12","2876.46","30.38","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 120","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","497.96","497.96","497.96","497.96","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 121","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","516.89","516.89","516.89","516.89","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 122","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","648.21","648.21","648.21","648.21","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 123","GTY029 25C 2","Whole cells prelim","6","0.00714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","631.27","762.32","700.3","4201.77","49.86","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 124","GTY029 25C 2","Whole cells prelim","9","0.0107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","630.81","772.19","705.27","6347.4","45.57","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 125","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","631.99","643.14","637.56","1275.13","5.58","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 126","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","596.8","602.07","599.44","1198.88","2.63","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 127","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","564.36","667.67","631.36","1894.07","47.43","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 128","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","591.97","617.93","604.95","1209.9","12.98","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 129","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","635.56","714.66","673.31","2019.93","32.39","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 130","GTY029 25C 2","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","572.27","663.32","624.71","2498.86","34.79","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 131","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","699.95","740.82","714.2","2142.59","18.84","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 132","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","801.2","801.2","801.2","801.2","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 133","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","631.98","631.98","631.98","631.98","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 134","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","692.76","692.76","692.76","692.76","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 135","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","651.44","651.44","651.44","651.44","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 136","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","523.15","565.32","544.38","1633.14","17.22","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 137","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","588.22","631.8","610.01","1220.02","21.79","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 138","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","616.34","616.34","616.34","616.34","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 139","GTY029 25C 2","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","592.43","676.88","630.32","2521.29","37.95","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 140","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","725.59","725.59","725.59","725.59","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 141","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","666.62","666.62","666.62","666.62","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 142","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","703.86","727.88","715.87","1431.75","12.01","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 143","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","627.91","627.91","627.91","627.91","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 144","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","604.89","606.93","605.91","1211.82","1.02","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 145","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","652.2","652.2","652.2","652.2","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 146","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","705.65","705.65","705.65","705.65","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 147","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","692.53","722.71","702.89","2108.66","14.02","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 148","GTY029 25C 2","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","725.93","809.13","761.85","3809.27","31.13","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 149","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","619.94","619.94","619.94","619.94","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 150","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","730.35","783.3","756.82","1513.64","26.47","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 151","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","800.42","836.9","818.66","1637.31","18.24","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 152","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","678.71","678.71","678.71","678.71","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 153","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","743.31","743.31","743.31","743.31","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 154","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","733.98","733.98","733.98","733.98","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 155","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","692.74","692.74","692.74","692.74","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 156","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","799.86","799.86","799.86","799.86","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 157","GTY029 25C 2","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","751.12","818.86","774.74","3098.95","26.68","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 158","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","674.08","674.08","674.08","674.08","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 159","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","662.45","662.45","662.45","662.45","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 160","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","645.35","645.35","645.35","645.35","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 161","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","690.17","775.47","732.82","1465.64","42.65","N/A","N/A","N/A","N/A","N/A"
