ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_AreaShape_Area_Bin_1,Classify_AreaShape_Area_Bin_10,Classify_AreaShape_Area_Bin_11,Classify_AreaShape_Area_Bin_12,Classify_AreaShape_Area_Bin_13,Classify_AreaShape_Area_Bin_14,Classify_AreaShape_Area_Bin_15,Classify_AreaShape_Area_Bin_16,Classify_AreaShape_Area_Bin_17,Classify_AreaShape_Area_Bin_18,Classify_AreaShape_Area_Bin_19,Classify_AreaShape_Area_Bin_2,Classify_AreaShape_Area_Bin_20,Classify_AreaShape_Area_Bin_3,Classify_AreaShape_Area_Bin_4,Classify_AreaShape_Area_Bin_5,Classify_AreaShape_Area_Bin_6,Classify_AreaShape_Area_Bin_7,Classify_AreaShape_Area_Bin_8,Classify_AreaShape_Area_Bin_9,Location_Center_X,Location_Center_Y,Number_Object_Number
1,11,119,565.0,234.0,1.1300314511323621,0.60889573717966916,1.0,0.70414201183431957,0.70554371619649892,14.56589265489723,14.212670403551895,5.0,2.1227150180034604,2.0,11.374735838014674,11.554398193051505,74.619551552518899,46.038000000000011,0.82926829268292679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.1680672268908,233.38655462184875,11
1,12,42,572.0,233.0,1.3468208868280813,0.84277376543344851,1.0,0.59999999999999998,0.62895870285597388,10.655002276212036,9.4868329805051381,2.8284271247461903,1.4209230162137261,1.0,5.3357837507993251,5.7352461760455498,77.586601013739383,28.968000000000007,0.81553398058252424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,572.64285714285711,232.8095238095238,12
1,13,10,578.0,236.0,2.0923007072908018,0.94090963679520001,1.0,0.55555555555555558,0.43126361779073563,7.0101892553215635,5.3851648071345037,1.0,1.0,1.0,1.8973665961010275,2.3740547521034232,-78.105665795209873,17.07,0.83333333333333337,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,577.39999999999998,235.09999999999999,13
1,14,85,583.0,233.0,1.0305805104696919,0.53919620738968099,1.0,0.77272727272727271,0.84167305777027057,11.497752380587494,10.770329614269007,4.4721359549995796,2.027696520415232,2.0,9.0,9.6831791309226265,83.94914899002525,35.624000000000009,0.89473684210526316,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,582.34117647058827,233.02352941176471,14
1,15,141,844.0,234.0,1.0010075643144725,0.31648464524954678,1.0,0.77472527472527475,0.91363725947147056,13.817402017205486,13.341664064126334,6.324555320336759,2.5768374658023765,2.2360679774997898,12.0,13.107154847643633,-70.785945683447054,44.038000000000011,0.92763157894736847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.75886524822693,233.60992907801418,15
1,16,7,553.0,234.0,0.9525528745578381,0.37236790413432469,1.0,0.77777777777777779,0.77467489220387886,3.1111564946136334,2.2360679774997898,1.4142135623730951,1.0591733660532994,1.0,2.0,2.887418306772823,0.0,10.655999999999999,0.93333333333333335,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,553.0,234.28571428571428,16
1,17,46,541.0,238.0,1.0041632144169232,0.34546262135201,1.0,0.71875,0.78478014903008697,7.986689835317982,7.2801098892805181,3.6055512754639891,1.6629396259597806,1.4142135623730951,6.7082039324993694,7.494969394807252,5.6549662370100728,27.140000000000001,0.87619047619047619,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.304347826087,238.34782608695653,17
1,18,46,604.0,239.0,1.0463798987977839,0.57507424239471605,1.0,0.71875,0.81979977326209563,8.6509944718545686,8.0622577482985491,3.1622776601683795,1.6373859349079121,1.4142135623730951,6.3639610306789276,7.0773891822292505,-29.436486807336664,26.554000000000006,0.91089108910891092,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.10869565217388,238.84782608695653,18
1,19,51,994.0,240.0,1.0124070135593128,0.55338620885725665,1.0,0.80952380952380953,0.90890844426884554,8.8913904196982116,8.2462112512353212,4.0,1.7621055272274795,1.4142135623730951,6.0,7.4058594877273753,11.9514820027951,26.554000000000002,0.92727272727272725,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994.29411764705878,240.09803921568627,19
1,20,10,609.0,240.0,2.5446900494077318,0.96470662368565341,1.0,0.33333333333333331,0.36105452965777451,7.8769723657881219,6.4031242374328485,1.0,1.0,1.0,1.6000000000000001,2.0742198205631435,-32.798014155574201,18.655999999999999,0.97087378640775257,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,607.20000000000005,241.09999999999999,20
