filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment ROIs ID,"Min (roGFP 470 (DCI: 30 its, roGFP 470))","Max (roGFP 470 (DCI: 30 its, roGFP 470))","Mean (roGFP 470 (DCI: 30 its, roGFP 470))","Sum (roGFP 470 (DCI: 30 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 30 its, roGFP 470))","Min (mCherry double (DCI: 30 its, mCherry double))","Max (mCherry double (DCI: 30 its, mCherry double))","Mean (mCherry double (DCI: 30 its, mCherry double))","Sum (mCherry double (DCI: 30 its, mCherry double))","Standard Deviation (mCherry double (DCI: 30 its, mCherry double))",Min (roGFP 470 (Red)),Max (roGFP 470 (Red)),Mean (roGFP 470 (Red)),Sum (roGFP 470 (Red)),Standard Deviation (roGFP 470 (Red)),Min (roGFP 470 (Green)),Max (roGFP 470 (Green)),Mean (roGFP 470 (Green)),Sum (roGFP 470 (Green)),Standard Deviation (roGFP 470 (Green)),Min (roGFP 470 (Blue)),Max (roGFP 470 (Blue)),Mean (roGFP 470 (Blue)),Sum (roGFP 470 (Blue)),Standard Deviation (roGFP 470 (Blue))
PSY106 clump 36C 5 03 m-50.csv,Mito 175,176,0.0226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574.8,758.49,643.83,12232.73,54.21,36.15,48.58,6,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 03 m-50.csv,Mito 176,177,0.0262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.54,691.7,597.64,13147.98,45.28,36.53,49.3,6,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 03 m-50.csv,Mito 178,179,0.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,607.62,535.33,6959.32,41.61,37,51.64,6,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-25.csv,ROIs 1,1,165.51,426,788,557.89,77546324,36.86,208,573,296.61,41228706,33.79,257.29,2485.83,558.57,77640400,94.06,NA,NA,NA,PSY106 clump 36C 5,ROIs,Object,111.08,2550.38,297.49,41351004,119.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-25.csv,Mito 7,8,0.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.11,921.44,684.46,256673.66,79.35,62.73,43.47,1.53,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-25.csv,Mito 11,12,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355.39,2485.83,695.36,1052085.38,179.96,63.7,41.92,2.39,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-25.csv,Mito 16,17,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.35,1059.8,652.32,324855.16,115.84,65.16,42.95,2.9,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-25.csv,Mito 35,36,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409.56,939.72,627.84,189608.83,97.59,62.23,43.9,3.23,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-25.csv,Mito 37,38,0.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.84,983.57,629.87,212264.52,110.2,64.2,44.69,3.22,PSY106 clump 36C 5,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 36C 5 04 m-35.csv,ROIs 1,1,165.51,426,788,557.89,77546324,36.86,208,573,296.61,41228706,33.79,257.29,2485.83,558.57,77640400,94.06,NA,NA,NA,PSY106 clump 36C 5,ROIs,Object,111.08,2550.38,297.49,41351004,119.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
