Time [s],Index,X Coord [µm],Y Coord [µm],Z Coord [µm],Ti ZDrive [µm],NIDAQ Piezo Z (name: Piezo Z) [µm],PFS Offset,Camera Temperature [°C],Exposure Time [ms],PFS Status
6.7294,154,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.7729,155,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.8164,156,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.8599,157,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.9034,158,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.9469,159,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.9904,160,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
7.0704,161,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.1139,162,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.1574,163,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.2009,164,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.2444,165,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.2879,166,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.3314,167,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.3748,168,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.4183,169,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.4618,170,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.5053,171,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.5488,172,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.5923,173,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.6358,174,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.6793,175,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.7228,176,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.7663,177,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.8098,178,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.8533,179,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.8968,180,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.9403,181,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
7.9838,182,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
8.0273,183,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
8.0708,184,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.1143,185,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.1578,186,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.2013,187,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.2447,188,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.2882,189,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.3317,190,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.3752,191,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.4187,192,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.4622,193,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.5057,194,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.5492,195,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.5927,196,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.6362,197,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.6797,198,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.7232,199,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.7667,200,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.8102,201,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.8537,202,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.8972,203,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.9407,204,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
8.9842,205,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
9.0277,206,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
9.0712,207,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.1146,208,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.1581,209,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.2016,210,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.2451,211,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.2886,212,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.3321,213,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.3756,214,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.4191,215,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.4626,216,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.5061,217,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.5496,218,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.5931,219,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.6366,220,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.6801,221,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.7236,222,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.7671,223,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.8106,224,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.8541,225,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.8976,226,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.9411,227,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
9.9845,228,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
10.028,229,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
10.0715,230,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.115,231,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.1585,232,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.202,233,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.2455,234,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.289,235,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.3325,236,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.376,237,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.4195,238,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.463,239,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.5065,240,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.5866,241,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
10.6301,242,6917.8,-177.2,2757.525,2807.525,50,8159,-70,20,1
